model,5w1s,5w5s,10w1s,10w5s
t5,75.6,86.1,65.7,75.8
roberta,82.0,88.9,72.9,79.8
bert,83.0,89.0,73.6,81.3
albert,81.5,86.7,70.1,78.9
deberta,22.8,54.1,39.2,11.1
