model,5w1s,5w5s,10w1s,10w5s
t5,77.6,87.3,66.8,77.9
roberta,85.3,93.7,76.9,89.0
bert,85.0,93.2,77.1,87.6
albert,80.2,89.3,72.1,83.9
deberta,27.0,23.9,13.9,44.4
