model,5w1s,5w5s,10w1s,10w5s
t5,50.9,69.6,43.6,59.3
roberta,61.0,81.1,46.3,61.8
bert,69.4,83.8,53.8,71.6
albert,57.8,64.6,43.5,60.5
deberta,20.5,28.1,16.6,10.7
